,Company,Experience,Job_Post_History,Location,Ratings,Reviews,Salary,Skills,Title,URL
22,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
23,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
24,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
25,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
26,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
27,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
28,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
29,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
30,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
31,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
32,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
33,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
34,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
35,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
36,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
37,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
38,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
39,CoinDCX,1-3 Yrs,1 Day Ago,Mumbai,4.7,(14 Reviews),Not disclosed,Analyst,Business Analyst - Finance,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062
40,Oracle,5-10 Yrs,1 Day Ago,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",3.9,(3683 Reviews),Not disclosed,Oracle Fusion Finance,Oracle Fusion Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
41,Oracle,5-10 Yrs,1 Day Ago,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",3.9,(3683 Reviews),Not disclosed,Oracle Fusion Finance,Oracle Fusion Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
42,Oracle,5-10 Yrs,1 Day Ago,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",3.9,(3683 Reviews),Not disclosed,Oracle Fusion Finance,Oracle Fusion Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
43,Oracle,5-10 Yrs,1 Day Ago,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",3.9,(3683 Reviews),Not disclosed,Oracle Fusion Finance,Oracle Fusion Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929
